性別,年齡,職業,個性,外在形象,興趣,購買偏好,情感效果,價值,希望收到的禮物
女,19-30歲,學生,務實,乾淨簡約,手工/DIY,文具,實用性高,301-500元,文具/文創商品/藝文活動票卷/書籍
女,19-30歲,學生,理性,乾淨簡約,閱讀,動漫周邊,實用性高,301-500元,文具/文創商品/藝文活動票卷/書籍
女,19-30歲,學生,體貼,休閒,影音（電影、電視劇）,美食,實用性高,100-300元,文具/文創商品/藝文活動票卷/書籍
女,19-30歲,學生,文靜,乾淨簡約,動漫,衣物,展現貼心與細膩,301-500元,文具/文創商品/藝文活動票卷/書籍
女,19-30歲,學生,內向,韓系,追星,明星周邊,展現貼心與細膩,1001-2000元,文具/文創商品/藝文活動票卷/書籍
女,19-30歲,學生,體貼,乾淨簡約,影音（電影、電視劇）,美妝保養,展現貼心與細膩,501-1000元,文具/文創商品/藝文活動票卷/書籍
女,19-30歲,學生,體貼,日系,烹飪/烘焙,美食,展現貼心與細膩,301-500元,文具/文創商品/藝文活動票卷/書籍
女,19-30歲,學生,感性,韓系,美食,衣物,浪漫的,301-500元,文具/文創商品/藝文活動票卷/書籍
女,19-30歲,學生,樂觀,活潑可愛,手工/DIY,衣物,創意新奇,100-300元,文具/文創商品/藝文活動票卷/書籍
女,19-30歲,學生,務實,乾淨簡約,影音（電影、電視劇）,衣物,療癒的,501-1000元,文具/文創商品/藝文活動票卷/書籍
女,19-30歲,學生,理性,休閒,追星,文創商品,實用性高,301-500元,文具/文創商品/藝文活動票卷/書籍
女,19-30歲,學生,感性,乾淨簡約,影音（電影、電視劇）,衣物,展現貼心與細膩,301-500元,文具/文創商品/藝文活動票卷/書籍
男,19-30歲,學生,內向,乾淨簡約,美食,美食,展現貼心與細膩,501-1000元,文具/文創商品/藝文活動票卷/書籍
女,19-30歲,學生,內向,運動風,美食,飾品配件,驚喜,100-300元,文具/文創商品/藝文活動票卷/書籍
女,19-30歲,學生,幽默,韓系,美食,衣物,創意新奇,501-1000元,文具/文創商品/藝文活動票卷/書籍
女,19-30歲,學生,體貼,日系,音樂,美食,實用性高,100-300元,文具/文創商品/藝文活動票卷/書籍
女,19-30歲,學生,理性,乾淨簡約,音樂,衣物,展現貼心與細膩,100-300元,文具/文創商品/藝文活動票卷/書籍
女,19-30歲,學生,體貼,休閒,影音（電影、電視劇）,衣物,實用性高,501-1000元,文具/文創商品/藝文活動票卷/書籍
女,19-30歲,學生,感性,休閒,動漫,美食,展現貼心與細膩,100-300元,文具/文創商品/藝文活動票卷/書籍
男,19-30歲,餐飲與旅遊,熱情,街頭嘻哈,閱讀,衣物,創意新奇,501-1000元,文具/文創商品/藝文活動票卷/書籍
男,19-30歲,醫療與健康,內向,乾淨簡約,電子遊戲,文創商品,實用性高,301-500元,文具/文創商品/藝文活動票卷/書籍
女,19-30歲,學生,內向,休閒,動漫,文創商品,展現貼心與細膩,100-300元,文具/文創商品/藝文活動票卷/書籍
女,19-30歲,學生,感性,乾淨簡約,影音（電影、電視劇）,衣物,展現貼心與細膩,301-500元,文具/文創商品/藝文活動票卷/書籍
